awards,math,path_ac,path_vo
3,44,0,1
6,47,1,0
9,64,1,0
2,67,0,1
0,67,0,0
4,9,1,0
3,83,0,0
0,21,0,0
2,36,0,1
5,87,0,1
3,70,0,1
5,88,0,0
6,88,1,0
5,12,1,0
3,58,0,1
2,65,1,0
0,39,0,0
2,87,0,0
6,46,1,0
3,88,0,0
0,81,0,0
0,37,0,0
2,25,0,1
1,77,0,1
3,72,1,0
4,9,1,0
2,20,1,0
2,80,0,0
0,69,0,0
4,79,0,1
2,47,0,1
2,64,1,0
8,82,1,0
6,99,0,0
1,88,0,1
0,49,0,1
0,29,0,0
5,19,1,0
3,19,0,1
2,14,0,1
0,39,0,1
4,32,0,1
2,65,0,1
0,9,0,0
0,57,0,0
0,32,0,0
8,31,1,0
4,74,0,1
0,23,0,0
2,35,0,1
2,75,0,1
4,55,0,1
1,28,0,1
5,34,1,0
0,0,0,0
0,0,0,0
5,36,1,0
0,53,0,1
1,5,0,1
7,38,1,0
2,17,1,0
4,79,1,0
0,4,0,0
2,42,0,1
1,58,0,0
2,31,0,1
0,1,0,0
6,65,1,0
0,41,0,0
7,57,1,0
1,35,0,1
2,11,0,1
0,46,0,1
6,82,1,0
7,91,1,0
8,0,1,0
10,14,1,0
8,99,1,0
1,53,1,0
1,12,0,1
6,42,1,0
2,84,0,0
2,75,0,0
2,68,0,1
1,6,0,1
3,68,0,1
0,47,0,0
1,3,0,1
3,76,0,1
8,52,1,0
5,78,0,1
0,15,0,0
4,20,0,1
6,99,0,1
3,58,1,0
5,23,1,0
5,79,0,1
1,13,0,1
0,85,0,0
2,48,0,1
2,49,0,0
0,69,0,0
3,41,0,1
0,35,0,0
0,64,0,0
5,95,1,0
1,69,0,1
9,94,0,1
3,0,0,1
0,50,0,0
1,36,0,1
3,34,0,1
8,48,0,1
3,93,0,0
1,3,1,0
7,98,0,1
3,42,1,0
2,77,0,1
1,21,0,1
2,73,0,0
6,0,1,0
0,10,0,0
4,43,1,0
0,58,0,0
7,23,1,0
1,59,0,0
4,2,1,0
12,98,1,0
7,62,1,0
4,35,1,0
5,94,0,1
0,67,0,0
6,82,1,0
3,46,1,0
6,99,0,1
0,20,0,0
4,81,0,1
2,50,1,0
4,27,1,0
1,14,1,0
2,41,1,0
5,58,1,0
2,65,0,1
1,36,1,0
0,10,0,0
1,86,0,0
0,43,0,0
8,11,1,0
4,2,1,0
1,51,0,0
5,80,1,0
0,32,0,0
0,54,0,0
4,0,1,0
3,38,0,1
2,19,0,1
2,46,0,1
3,42,1,0
6,56,1,0
2,60,0,1
6,77,1,0
3,30,1,0
4,24,0,1
0,2,0,0
0,3,0,0
10,94,1,0
6,98,0,0
3,13,0,1
4,40,0,1
1,72,0,0
1,19,0,1
7,95,0,0
3,72,0,0
2,26,0,1
1,66,0,0
4,52,1,0
3,67,1,0
1,61,0,0
3,14,0,1
5,96,0,1
0,4,0,0
1,67,0,0
3,11,0,1
3,86,1,0
2,77,0,0
1,75,1,0
0,56,0,0
7,16,1,0
0,24,0,0
1,29,0,1
0,21,0,0
3,25,0,1
5,80,1,0
3,60,0,1
4,61,0,1
1,83,0,0
0,33,0,0
5,32,1,0
1,70,0,1
5,85,1,0
